,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
0,Mieszkanie dwupokojowe ok.30m2 Podwisłocze,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-ok-30m2-podwislocze-ID4duJU,"Rzeszów, Nowe Miasto","29,84 m²",245 000 zł,380 zł,2,wielka płyta,miejskie,> 10,11,wtórny,1975,blok,do remontu
1,"Kawalerka 31,60m2 Nowe Miasto,zadbana",https://www.otodom.pl/pl/oferta/kawalerka-31-60m2-nowe-miasto-zadbana-ID4dy1q,"Rzeszów, Nowe Miasto","31,60 m²",269 000 zł,365 zł,1,wielka płyta,miejskie,5,10,wtórny,1980,blok,do zamieszkania
2,"66m2, po częściowym remoncie, super układ, balkon!",https://www.otodom.pl/pl/oferta/66m2-po-czesciowym-remoncie-super-uklad-balkon-ID4dl9f,"Rzeszów, Baranówka",66 m²,439 000 zł,,3,wielka płyta,miejskie,9,10,wtórny,1980,,do zamieszkania
3,"Mieszkanie 59 m2 oś.Kmity,super stan, wyposażone",https://www.otodom.pl/pl/oferta/mieszkanie-59-m2-os-kmity-super-stan-wyposazone-ID4dyTr,"Rzeszów, podkarpackie","58,80 m²",415 000 zł,580 zł,3,,miejskie,2,4,wtórny,1987,blok,do zamieszkania
4,"2 pokoje z balkonem, blisko Centrum",https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-blisko-centrum-ID4dAqD,"Jacka Malczewskiego, Rzeszów, podkarpackie","40,30 m²",335 000 zł,360 zł,2,wielka płyta,miejskie,4,4,wtórny,1977,blok,do zamieszkania
5,Szeregówka Od Dewelopera DO ODBIORU,https://www.otodom.pl/pl/oferta/szeregowka-od-dewelopera-do-odbioru-ID46hNR,"Rzeszów, Budziwój, ul. Porąbki","117,49 m²",510 000 zł,,4,pustak,gazowe,1,2,pierwotny,2019,szeregowiec,do wykończenia
6,"Nowe układy, nowe metraże - osiedle przy parku!",https://www.otodom.pl/pl/oferta/nowe-uklady-nowe-metraze-osiedle-przy-parku-ID4acg0,"Rzeszów, Słocina, ul. Ignacego Paderewskiego","86,97 m²",608 790 zł,,4,,miejskie,7,7,pierwotny,2022,,do wykończenia
7,Rewelacyjny APARTAMENT z 2 tarasami! Gotowy!,https://www.otodom.pl/pl/oferta/rewelacyjny-apartament-z-2-tarasami-gotowy-ID455ET,"Rzeszów, Drabinianka, Urocza 10","117,57 m²",822 990 zł,,4,,miejskie,5,5,pierwotny,2021,blok,do wykończenia
8,OSTATNIA zabudowa na GRABSKIEGO! Nie przegap!,https://www.otodom.pl/pl/oferta/ostatnia-zabudowa-na-grabskiego-nie-przegap-ID47H89,"Rzeszów, Drabinianka, ul. Władysława Grabskiego","113,58 m²",1 135 800 zł,,3,,miejskie,8,8,pierwotny,2022,,do wykończenia
9,Najnowsza inwestycja mieszkaniowa - Kwiatkowskiego,https://www.otodom.pl/pl/oferta/najnowsza-inwestycja-mieszkaniowa-kwiatkowskiego-ID4bxmV,"ul. Kwiatkowskiego, Rzeszów, podkarpackie","39,99 m²",379 905 zł,,2,,miejskie,7,12,pierwotny,2022,blok,do wykończenia
10,Pierwsze takie osiedle przy plaży! Nie przegap!,https://www.otodom.pl/pl/oferta/pierwsze-takie-osiedle-przy-plazy-nie-przegap-ID4cs8k,"ul. Kwiatkowskiego, Rzeszów, podkarpackie","46,67 m²",448 032 zł,,2,,miejskie,3,12,pierwotny,2023,blok,do wykończenia
11,"mieszkanie z antresolą, dwoma balkonami i garażem",https://www.otodom.pl/pl/oferta/mieszkanie-z-antresola-dwoma-balkonami-i-garazem-ID4dn5N,"Kornela Makuszyńskiego, Rzeszów, podkarpackie","74,34 m²",560 000 zł,230 zł,4,pustak,gazowe,3,3,wtórny,2018,blok,do zamieszkania
12,Ostatnie Grudzien 2021 Parter 2m.postojowe,https://www.otodom.pl/pl/oferta/ostatnie-grudzien-2021-parter-2m-postojowe-ID4d7qW,"Odrzykońska, Rzeszów, podkarpackie","82,31 m²",505 304 zł,,5,pustak,miejskie,parter,8,pierwotny,2021,blok,do wykończenia
13,"Mieszkanie, 65 m², Rzeszów",https://www.otodom.pl/pl/oferta/mieszkanie-65-m-rzeszow-ID4dAhr,"Rzeszów, Nowe Miasto",65 m²,390 000 zł,,3,,,4,4,wtórny,1991,,
14,"Apartament,3 pokoje, taras, os. Projektant",https://www.otodom.pl/pl/oferta/apartament-3-pokoje-taras-os-projektant-ID4cnHx,"Rzeszów, Przybyszówka, ul. Iwonicka",65 m²,699 000 zł,430 zł,3,,gazowe,parter,,wtórny,2019,blok,do zamieszkania
15,"Rzeszów, mieszkanie Jana Pawła II - Budziwój",https://www.otodom.pl/pl/oferta/rzeszow-mieszkanie-jana-pawla-ii-budziwoj-ID4dwvW,"Rzeszów, podkarpackie","62,60 m²",349 000 zł,,3,,,1,,wtórny,2022,szeregowiec,
16,"Mieszkania, ul. Jana Pawła II - Budziwój",https://www.otodom.pl/pl/oferta/mieszkania-ul-jana-pawla-ii-budziwoj-ID4dwvY,"Rzeszów, podkarpackie","57,07 m²",359 000 zł,,3,,,,,wtórny,2022,szeregowiec,
17,mieszkanie z 2 miejscami postojowymi i antresolą,https://www.otodom.pl/pl/oferta/mieszkanie-z-2-miejscami-postojowymi-i-antresola-ID4djeA,"Krakowska, Rzeszów, podkarpackie","61,77 m²",520 000 zł,120 zł,3,pustak,gazowe,1,1,wtórny,2017,blok,do zamieszkania
18,Do sprzedania 3-pok. mieszkanie 59 m.kw.!!!,https://www.otodom.pl/pl/oferta/do-sprzedania-3-pok-mieszkanie-59-m-kw-ID4dAe5,"Wyspiańskiego, Rzeszów, podkarpackie",59 m²,415 000 zł,,3,inne,miejskie,2,4,wtórny,1976,blok,
19,Mieszkanie 2pok 1piętro Centrum Rzeszowa.,https://www.otodom.pl/pl/oferta/mieszkanie-2pok-1pietro-centrum-rzeszowa-ID4dAcU,"Rzeszów, Śródmieście",38 m²,329 000 zł,290 zł,2,cegła,miejskie,1,4,wtórny,1960,blok,do zamieszkania
20,"Mieszkanie 56,79 m2 - Drabinianka Rzeszów",https://www.otodom.pl/pl/oferta/mieszkanie-56-79-m2-drabinianka-rzeszow-ID4dAbB,"Rzeszów, Drabinianka, Gościnna","56,79 m²",363 456 zł,,3,,,1,4,pierwotny,,blok,
21,"Mieszkanie 55,80m2 - 3 pokoje Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-55-80m2-3-pokoje-drabinianka-ID4dAbu,"Rzeszów, Drabinianka","55,80 m²",357 120 zł,,3,,,1,4,pierwotny,,blok,
22,Ustawne Mieszkanie na Osiedlu Architektów A2.0.M55,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-0-m55-ID4dyCC,"Rzeszów, Staroniwa, ul. Architektów","25,02 m²",230 184 zł,,1,,,parter,8,pierwotny,2023,blok,
23,Mieszkanie na Osiedlu Architektów B1.8.M62,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-b1-8-m62-ID4dzH1,"Rzeszów, Staroniwa, ul. Architektów","25,03 m²",230 276 zł,,1,,,parter,,pierwotny,2023,blok,
24,Mieszkanie na Osiedlu Architektów A2.3.M74,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-3-m74-ID4dyOI,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,3,8,pierwotny,2023,blok,
25,Mieszkanie na Osiedlu Architektów B3.0.M111,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-b3-0-m111-ID4dzTe,"Rzeszów, Staroniwa, ul. Architektów","25,09 m²",230 828 zł,,1,,,parter,8,pierwotny,2023,blok,
26,Idealne pod inwestycję.,https://www.otodom.pl/pl/oferta/idealne-pod-inwestycje-ID4dAau,"Rzeszów, podkarpackie","58,40 m²",419 000 zł,562 zł,3,cegła,miejskie,parter,4,wtórny,1961,blok,do zamieszkania
27,"Mieszkanie 52,58m2 - 3 pokoje, Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-52-58m2-3-pokoje-drabinianka-ID4dA9W,"Rzeszów, Drabinianka","52,68 m²",337 152 zł,,3,,,1,4,pierwotny,,,
28,"Mieszkanie 47,36m2 - 2 pokoje - Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-47-36m2-2-pokoje-drabinianka-ID4dA9T,"Rzeszów, Drabinianka, Gościnna","47,36 m²",303 104 zł,,2,,,1,,pierwotny,,blok,
29,"Mieszkanie 61,57 m2 ul. Gościnna - 1 piętro",https://www.otodom.pl/pl/oferta/mieszkanie-61-57-m2-ul-goscinna-1-pietro-ID4dA9Q,"Rzeszów, Drabinianka, Gościnna","61,57 m²",394 048 zł,,3,,,,,pierwotny,,blok,
