Name,Origin
Nala,African
Miley,African
Anika,African
Nairobi,African
Kenya,African
Ayana,African
Mazi,African
Xavion,African
Safiya,African
Jahzara,African
Ayomide,African
Bakari,African
Scipio,African
Ayofemi,African
Idi,African
Obama,African
Chidera,African
Foluke,African
Imamu,African
Chioma,African
Abiodun,African
Thandie,African
Adamma,African
Bosede,African
Babatunde,African
Chinelo,African
Awo,African
Thandiwe,African
Nakia,African
Chukwubuikem,African
Esi,African
Adjoa,African
Chinua,African
Ajala,African
Abiona,African
Umi,African
Abimbola,African
Mandisa,African
Akintunde,African
Adeleke,African
Sharik,African
Ayo,African
Aba,African
Shaka,African
Bomani,African
Afiya,African
Bahati,African
Akua,African
Abiola,African
Chike,African
Ayodele,African
Kesia,African
Tau,African
Chukwuebuka,African
Chima,African
Chidi,African
Chijioke,African
Aunika,African
Eshe,African
Annaka,African
Deka,African
Akinwunmi,African
Akinyele,African
Balarabe,African
Abebe,African
Abidemi,African
Chileogu,African
Adefunke,African
Adefunmike,African
Adelaja,African
Alaba,African
Aduke,African
Adzoa,African
Adzowa,African
Aiyetoro,African
Akinlabi,African
Akosiwa,African
Akrong,African
Akuwa,African
Amazu,African
Ambe,African
Ameng,African
Amenyo,African
Anaca,African
Anecky,African
Anuli,African
Asaye,African
Asong,African
Assibi,African
Awotwi,African
Awushi,African
Ayaba,African
Babafemi,African
Babafunmike,African
Badu,African
Baduwa,African
Balaraba,African
Bandele,African
Chimaijem,African
Chinagorom,African
Chinecherem,African
Chineze,African
Cowry,African
Danladi,African
Danasabe,African
Danlami,African
Danjuma,African
Dipuo,African
Dipuonyane,African
Dubaku,African
Ebuka,African
Echerem,African
Kibo,African
Wole,African
Dada,African
Ja,African
Thandy,African
Thandey,African
Bahari,African
Ororo,African
Jango,African
Caben,African
Winta,African
Ato,African
Feyisa,African
Maverick,American
Nevaeh,American
Raelynn,American
Adalynn,American
London,American
Jaden,American
Alivia,American
Jaylen,American
Kamari,American
Gracelyn,American
Kolton,American
Kamden,American
Meadow,American
Jaliyah,American
Jazlyn,American
Jayleen,American
Jayson,American
Jalen,American
Jamari,American
Braelyn,American
Jaylin,American
Sam,American
DeAndre,American
Julissa,American
Promise,American
Laken,American
Jaycee,American
Kyleigh,American
Jianna,American
Seven,American
Dash,American
Kiana,American
Jaelyn,American
Jaylee,American
D'Angelo,American
McKayla,American
Kasey,American
Jazlynn,American
Davion,American
Kaelyn,American
Kaylin,American
Marlon,American
DeShawn,American
Kaylynn,American
Janessa,American
Kodi,American
Kailyn,American
Essence,American
Daylin,American
Janae,American
Truth,American
Javon,American
Jaylynn,American
Chevelle,American
Sherlyn,American
Arizona,American
Deon,American
Daylen,American
Kaelynn,American
Kaylen,American
Lettie,American
Kapri,American
Jazzlyn,American
Jazelle,American
Pepper,American
